student_id,activity_id,event_ts,event_type,progress_percent
STU-00001,ACT-000002,2025-01-06 18:09:00,video_started,0.0
STU-00001,ACT-000002,2025-01-06 18:17:00,video_progress,19.0
STU-00001,ACT-000002,2025-01-06 18:23:00,video_progress,0.0
STU-00001,ACT-000002,2025-01-06 18:29:00,video_progress,25.0
STU-00001,ACT-000002,2025-01-06 18:37:00,video_progress,42.0
STU-00001,ACT-000002,2025-01-06 18:39:00,video_progress,48.0
STU-00001,ACT-000002,2025-01-06 18:49:00,video_progress,74.0
STU-00001,ACT-000002,2025-01-06 18:55:00,video_completed,90.0
STU-00001,ACT-000003,2025-01-14 04:17:00,video_started,0.0
STU-00001,ACT-000003,2025-01-14 04:26:00,video_progress,5.0
STU-00001,ACT-000003,2025-01-14 04:28:00,video_progress,25.0
STU-00001,ACT-000003,2025-01-14 04:33:00,video_progress,59.0
STU-00002,ACT-000005,2025-01-14 03:18:00,video_started,0.0
STU-00002,ACT-000005,2025-01-14 03:24:00,video_progress,9.0
STU-00002,ACT-000005,2025-01-14 03:35:00,video_progress,28.0
STU-00002,ACT-000005,2025-01-14 03:41:00,video_progress,55.0
STU-00002,ACT-000005,2025-01-14 03:53:00,video_progress,62.0
STU-00002,ACT-000005,2025-01-14 03:55:00,video_progress,97.0
STU-00002,ACT-000005,2025-01-14 04:04:00,video_completed,97.0
STU-00003,ACT-000006,2025-01-06 22:54:00,video_started,0.0
STU-00003,ACT-000006,2025-01-06 22:58:00,video_progress,34.0
STU-00003,ACT-000006,2025-01-06 23:00:00,video_progress,44.0
STU-00003,ACT-000006,2025-01-06 23:04:00,video_progress,65.0
STU-00003,ACT-000007,2025-01-14 01:01:00,video_started,0.0
STU-00003,ACT-000007,2025-01-14 01:08:00,video_progress,16.0
STU-00003,ACT-000007,2025-01-14 01:20:00,video_progress,38.0
STU-00003,ACT-000007,2025-01-14 01:32:00,video_progress,71.0
STU-00003,ACT-000007,2025-01-14 01:40:00,video_progress,32.0
STU-00004,ACT-000010,2025-01-13 23:41:00,video_started,0.0
STU-00004,ACT-000010,2025-01-13 23:50:00,video_progress,26.0
STU-00004,ACT-000010,2025-01-14 00:01:00,video_progress,35.0
STU-00005,ACT-000012,2025-01-07 02:58:00,video_started,0.0
